M 300, Stress Ration (R) = 0.05
Maximum Stress, MPa, Fatigue life (transverse direction), cycle

1478.0766957416633, 1953.0188679245284
1715.3132183698501, 1967.6415094339623
1917.9102616724867, 1879.9056603773586
2144.436207006193, 1825.0707547169811
1882.5541395948308, 1715.4009433962265
2397.71731650727, 1825.0707547169811
2582.9810031980714, 1901.8396226415095
3229.1699999438965, 1671.5330188679245
3478.6772854868027, 1664.2216981132074
3544.0100885056336, 1711.745283018868
4430.621457583873, 1711.745283018868
21948.969823543215, 1368.1132075471698
31257.15849688235, 1229.1981132075473
34948.9669815907, 1240.1650943396226
112856.15570598247, 1090.2830188679245
407475.0391019509, 1090.2830188679245
648815.4934780231, 1020.8254716981132
2018601.0975473812, 951.367924528302

