M 300, Stress Ration (R) = 0.33
Maximum Stress, MPa, Fatigue life (transverse direction), cycle

10188.96525567091, 1228.5714285714282
11188.722115874221, 1228.5714285714282
12058.708946926552, 1228.5714285714282
13492.154348336775, 1228.5714285714282
14541.246146668707, 1228.5714285714282
24105.371063566294, 1062.4999999999998
26470.626954014413, 1062.4999999999998
28528.868871294646, 1066.190476190476
52914.80935646829, 925.9523809523805
68769.89701663847, 925.9523809523805
101889.65255670909, 918.5714285714284
111887.22115874199, 918.5714285714284
245608.7882417324, 918.5714285714284
269708.2983302787, 700.833333333333
370770.94260385656, 756.1904761904759
592049.097703985, 722.9761904761904
626250.3296461998, 704.5238095238094
1098121.530019631, 693.4523809523807
