M 300, Stress Ration (R) = 1.00
Maximum Stress, MPa, Fatigue life (transverse direction), cycle

1214.9344463117109, 1379.478672985782
1214.9344463117109, 1434.5734597156397
3216.0076501899416, 1313.3649289099526
5040.098503806079, 1206.8483412322273
5351.250538587817, 1096.6587677725117
9888.30722368542, 1030.5450236966822
13341.456730573718, 1034.218009478673
13747.109187935257, 960.7582938388623
13954.537501978104, 894.644549763033
17209.662670181464, 1026.8720379146919
21224.099270896928, 1059.9289099526065
26970.82983302793, 887.2985781990521
29951.78876643489, 964.4312796208528
45555.0560546802, 968.1042654028436
41021.178216297754, 751.3981042654027
50590.04208027734, 824.8578199052131
52914.8093564684, 890.9715639810424
57029.236976621745, 758.7440758293837
67242.25610635827, 890.9715639810424
76944.72676564555, 824.8578199052131
96325.18180972776, 887.2985781990521
133915.01314949154, 744.0521327014217
170174.43169874468, 854.2417061611372
183406.462401311, 824.8578199052131
270719.9899292644, 744.0521327014217
547282.2742098897, 670.5924170616113
1026554.7427896775, 674.2654028436018
1470549.5913231864, 674.2654028436018
